manufacturer,oem,prefix,name,suffix,vram,gddr,price,link
NVIDIA,華碩,RTX,4060,Ti,8,6,13490,https://24h.pchome.com.tw/prod/DRADKY-A900GCL3D
NVIDIA,華碩,GTX,1660,Super,6,6,6188,https://24h.pchome.com.tw/prod/DRADIB-A900EG7D3
NVIDIA,微星,GTX,1660,Super,6,6,6490,https://24h.pchome.com.tw/prod/DRADKY-A900GYLXC
NVIDIA,微星,RTX,4070,,12,6,20990,https://24h.pchome.com.tw/prod/DRADLD-A900GMG3V
NVIDIA,索泰,RTX,4060,,8,6,8990,https://24h.pchome.com.tw/prod/DRADLX-A900GI9BI
NVIDIA,索泰,RTX,4070,,12,6,18990,https://24h.pchome.com.tw/prod/DRADOG-A900GL9QJ
AMD,,RX,7600,,8,6,8490,https://24h.pchome.com.tw/prod/DRADNG-A900GH7OW
NVIDIA,微星,RTX,4070,,12,6,22990,https://24h.pchome.com.tw/prod/DRADLA-A900GRFQ9
NVIDIA,華碩,RTX,3060,,,,9090,https://24h.pchome.com.tw/prod/DRADKY-A900G4YVA
NVIDIA,華碩,GTX,1650,Ti,4,6,4490,https://24h.pchome.com.tw/prod/DRADKY-A900G5B6Z
NVIDIA,華碩,RTX,4070,,12,6,21490,https://24h.pchome.com.tw/prod/DRADKY-A900GS12P
NVIDIA,華碩,RTX,4070,Ti,12,,24990,https://24h.pchome.com.tw/prod/DRADOG-A900GJJ8G
NVIDIA,華碩,GTX,1650,,,,4490,https://24h.pchome.com.tw/prod/DRAD1N-A900EG48J
NVIDIA,華碩,GTX,1650,,4,6,4990,https://24h.pchome.com.tw/prod/DRADKY-A900GORCD
NVIDIA,索泰,RTX,3060,Ti,,,9900,https://24h.pchome.com.tw/prod/DRADD7-A900EP71B
NVIDIA,技嘉,RTX,4060,Ti,8,6,13990,https://24h.pchome.com.tw/prod/DRADL2-A900H2DBF
NVIDIA,技嘉,RTX,4070,Super,12,6,21990,https://24h.pchome.com.tw/prod/DRADL2-A900H319J
